tconst,titleType,primaryTitle,originalTitle,startYear,genres,averageRating,numVotes
tt0000001,short,Carmencita,Carmencita,1894,"Documentary,Short",5.7,1954.0
tt0000002,short,Le clown et ses chiens,"Animation,Short",999999999999,Le clown et ses chiens,999999.0,263.0
tt0000003,short,Pauvre Pierrot,Pauvre Pierrot,1892,"Animation,Comedy,Romance",6.5,1787.0
tt0000004,short,Un bon bock,Un bon bock,1892,"Animation,Short",5.6,179.0
tt0000005,short,Blacksmith Scene,Blacksmith Scene,1893,"Comedy,Short",6.2,2589.0
tt0000006,short,Chinese Opium Den,Chinese Opium Den,1894,Short,5.1,177.0
tt0000007,short,Corbett and Courtney Before the Kinetograph,Corbett and Courtney Before the Kinetograph,1894,"Short,Sport",5.4,812.0
tt0000008,short,Edison Kinetoscopic Record of a Sneeze,Edison Kinetoscopic Record of a Sneeze,1894,"Documentary,Short",5.4,2096.0
tt0000009,movie,Miss Jerry,Miss Jerry,1894,Romance,5.3,204.0
tt0000010,short,Leaving the Factory,La sortie de l'usine Lumière à Lyon,1895,"Documentary,Short",6.9,7071.0
tt0000011,short,Akrobatisches Potpourri,Akrobatisches Potpourri,1895,"Documentary,Short",5.3,363.0
tt0000012,short,The Arrival of a Train,L'arrivée d'un train à La Ciotat,1896,"Documentary,Short",7.4,12109.0
tt0000013,short,The Photographical Congress Arrives in Lyon,Le débarquement du congrès de photographie à Lyon,1895,"Documentary,Short",5.7,1867.0
tt0000014,short,The Waterer Watered,L'arroseur arrosé,1895,"Comedy,Short",7.1,5445.0
tt0000015,short,Autour d'une cabine,Autour d'une cabine,1894,"Animation,Short",6.2,1068.0
tt0000016,short,Boat Leaving the Port,Barque sortant du port,1895,"Documentary,Short",5.9,1485.0
tt0000017,short,Italienischer Bauerntanz,Italienischer Bauerntanz,1895,"Documentary,Short",4.6,323.0
tt0000018,short,Das boxende Känguruh,Das boxende Känguruh,1895,Short,5.3,591.0
tt0000019,short,The Clown Barber,The Clown Barber,1898,"Comedy,Short",5.1,31.0
tt0000020,short,The Derby 1895,The Derby 1895,1895,"Documentary,Short,Sport",4.8,355.0
tt0000022,short,Blacksmith Scene,Les forgerons,1895,"Documentary,Short",5.1,1087.0
tt0000023,short,The Sea,Baignade en mer,1895,"Documentary,Short",5.7,1424.0
tt0000024,short,Opening of the Kiel Canal,Opening of the Kiel Canal,1895,"News,Short",4.2,110.0
tt0000025,short,The Oxford and Cambridge University Boat Race,The Oxford and Cambridge University Boat Race,1896,"News,Short,Sport",3.8,46.0
tt0000026,short,The Messers. Lumière at Cards,Partie d'écarté,1896,"Documentary,Short",5.6,1527.0
tt0000027,short,Cordeliers' Square in Lyon,Place des Cordeliers à Lyon,1895,"Documentary,Short",5.6,1144.0
tt0000028,short,Fishing for Goldfish,La pêche aux poissons rouges,1895,"Documentary,Short",5.1,1070.0
tt0000029,short,Baby's Meal,Repas de bébé,1895,"Documentary,Short",5.9,3326.0
tt0000030,short,Rough Sea at Dover,Rough Sea at Dover,1895,"Documentary,Short",5.2,841.0
tt0000031,short,Jumping the Blanket,Le saut à la couverture,1895,"Documentary,Short",5.5,998.0
tt0000032,short,Die Serpentintänzerin,Die Serpentintänzerin,1895,Short,5.0,415.0
tt0000033,short,Horse Trick Riders,La voltige,1895,"Comedy,Documentary,Short",5.5,1027.0
tt0000034,short,Arrivée d'un train gare de Vincennes,Arrivée d'un train gare de Vincennes,1896,"Documentary,Short",5.0,203.0
tt0000035,short,Watering the Flowers,L'arroseur,1896,"Comedy,Short",5.6,82.0
tt0000036,short,Awakening of Rip,Awakening of Rip,1896,"Drama,Short",4.4,603.0
tt0000037,short,Sea Bathing,Baignade en mer,1896,Short,4.3,68.0
tt0000038,short,The Ball Game,The Ball Game,1898,"Documentary,Short,Sport",4.2,199.0
tt0000039,short,Barnet Horse Fair,Barnet Horse Fair,1896,Short,3.3,32.0
tt0000040,short,Barque sortant du port de Trouville,Barque sortant du port de Trouville,1896,"Documentary,Short",4.0,66.0
tt0000041,short,Bataille de neige,Bataille de neige,1897,"Comedy,Documentary,Short",6.7,1838.0
tt0000042,short,Bateau-mouche sur la Seine,Bateau-mouche sur la Seine,1896,"Documentary,Short",3.9,39.0
tt0000043,short,Batteuse à vapeur,Batteuse à vapeur,1896,"Documentary,Short",3.2,34.0
tt0000044,short,Le bivouac,Le bivouac,1896,Short,3.9,47.0
tt0000045,short,Les blanchisseuses,Les blanchisseuses,1896,Short,3.8,35.0
tt0000046,short,Bois de Boulogne,Bois de Boulogne,1896,"Documentary,Short",3.9,36.0
tt0000047,short,Boulevard des Italiens,Boulevard des Italiens,1896,"Documentary,Short",3.3,36.0
tt0000048,short,The Boxing Kangaroo,The Boxing Kangaroo,1896,Short,4.8,198.0
tt0000049,short,"Boxing Match; or, Glove Contest","Boxing Match; or, Glove Contest",1896,"Short,Sport",5.0,51.0
tt0000050,short,Bébé et fillettes,Bébé et fillettes,1896,"Documentary,Short",3.9,36.0
tt0000051,short,The Bohemian Encampment,Campement de bohémiens,1896,"Documentary,Short",3.4,37.0
tt0000052,short,Carga de rurales,Carga de rurales,1896,"Documentary,Short",4.2,102.0
tt0000053,short,A Chegada do Comboio Inaugural à Estação Central do Porto,A Chegada do Comboio Inaugural à Estação Central do Porto,1897,"Documentary,Short",3.3,19.0
tt0000054,short,A Merry-Go-Round,Les chevaux de bois,1896,Short,4.7,36.0
tt0000055,short,Le chiffonnier,Le chiffonnier,1896,Short,3.4,32.0
tt0000056,short,Uma Corrida de Touros no Campo Pequeno,Uma Corrida de Touros no Campo Pequeno,1896,Short,2.8,24.0
tt0000057,short,Cortège de tzar allant à Versailles,Cortège de tzar allant à Versailles,1896,"Documentary,Short",4.2,36.0
tt0000058,short,Cortège de tzar au Bois de Boulogne,Cortège de tzar au Bois de Boulogne,1896,"Documentary,Short",4.0,35.0
tt0000059,short,Coronation of a Village Maiden,Couronnement de la rosière,1896,Short,3.2,29.0
tt0000060,short,Dancing Darkies,Dancing Darkies,1896,"Documentary,Short",7.4,89.0
tt0000061,short,Dancing Girls,Dancing Girls,1896,Short,3.9,26.0
tt0000062,short,Danse serpentine,Danse serpentine,1896,Short,6.3,198.0
tt0000063,short,Dessinateur express,Dessinateur express,1896,Short,3.2,30.0
tt0000064,short,Dessinateur: Chamberlain,Dessinateur: Chamberlain,1896,Short,2.8,31.0
tt0000065,short,Dessinateur: Reine Victoria,Dessinateur: Reine Victoria,1896,Short,3.1,31.0
tt0000066,short,Dessinateur: Von Bismark,Dessinateur: Von Bismark,1896,Short,3.0,31.0
tt0000067,short,Conjurer Making Ten Hats in Sixty Seconds,Dix chapeaux en 60 secondes,1896,"Fantasy,Short",5.5,64.0
tt0000068,short,Unloading the Boat,Déchargement de bateaux,1896,"Documentary,Short",3.5,33.0
tt0000069,short,Post No Bills,Défense d'afficher,1896,Short,4.9,450.0
tt0000070,short,Demolition of a Wall,Démolition d'un mur,1896,"Documentary,Short",6.4,2627.0
tt0000071,short,Automobiles Starting a Race,Départ des automobiles,1896,"Short,Sport",3.1,31.0
tt0000072,short,Officers of French Army Leaving Service,Départ des officiers,1896,Short,3.3,29.0
tt0000073,short,Effets de mer sur les rochers,Effets de mer sur les rochers,1896,"Documentary,Short",3.2,32.0
tt0000074,short,Enfants jouant sur la plage,Enfants jouant sur la plage,1896,"Documentary,Short",4.3,33.0
tt0000075,short,The Conjuring of a Woman at the House of Robert Houdin,Escamotage d'une dame au théâtre Robert Houdin,1896,"Horror,Short",6.3,1914.0
tt0000076,short,Exit of Rip and the Dwarf,Exit of Rip and the Dwarf,1896,"Drama,Short",4.5,532.0
tt0000077,short,"Le fakir, mystère indien","Le fakir, mystère indien",1896,Short,4.3,37.0
tt0000078,short,Feira de Gado na Corujeira,Feira de Gado na Corujeira,1896,"Documentary,Short",3.7,84.0
tt0000079,short,La gare Saint-Lazare,La gare Saint-Lazare,1896,"Documentary,Short",4.1,37.0
tt0000080,short,Grandes manoeuvres,Grandes manoeuvres,1896,"Documentary,Short",3.8,33.0
tt0000081,short,Towing a Boat on the River,Les haleurs de bateaux,1896,"Documentary,Short",3.9,34.0
tt0000082,short,A Hard Wash,A Hard Wash,1896,"Comedy,Short",4.6,51.0
tt0000083,short,Les indiscrets,Les indiscrets,1896,Short,4.4,34.0
tt0000084,short,Les ivrognes,Les ivrognes,1896,Short,4.1,32.0
tt0000085,short,Gardener Burning Weeds,Jardinier brûlant des herbes,1896,Short,4.5,35.0
tt0000086,short,"Beach and Pier at Trouville, 1st part",Jetée et plage de Trouville (1er partie),1896,"Documentary,Short",3.9,35.0
tt0000087,short,"Beach and Pier at Trouville, 2nd part",Jetée et plage de Trouville (2e partie),1896,"Documentary,Short",4.5,39.0
tt0000088,short,Market Day,Jour de marché à Trouville,1896,"Documentary,Short",4.0,34.0
tt0000089,short,Leaving Jerusalem by Railway,Départ de Jérusalem en chemin de fer,1897,"Documentary,Short",6.2,993.0
tt0000090,short,Libération des territoriaux,Libération des territoriaux,1896,"Documentary,Short",3.7,33.0
tt0000091,short,The House of the Devil,Le manoir du diable,1896,"Horror,Short",6.7,3621.0
tt0000092,short,Marée montante sur Brise-Larmes,Marée montante sur Brise-Larmes,1896,"Documentary,Short",4.2,31.0
tt0000093,short,Melbourne,Melbourne,1896,"Documentary,Short",4.7,95.0
tt0000094,short,Miss de Vere,Miss de Vere,1896,Short,4.1,33.0
tt0000095,short,The Mysterious Paper,Le papier protée,1896,Short,4.6,35.0
tt0000096,short,Place Saint-Augustin,Place Saint-Augustin,1896,"Documentary,Short",4.0,30.0
tt0000097,short,"Place de l'Opéra, First View","Place de l'Opéra, 1er aspect",1896,"Documentary,Short",4.6,34.0
tt0000098,short,"Place de l'Opéra, Second View","Place de l'Opéra, 2e aspect",1896,"Documentary,Short",4.9,37.0
tt0000099,short,Place de la Bastille,Place de la Bastille,1896,"Documentary,Short",4.3,33.0
tt0000100,short,Place de la Concorde,Place de la Concorde,1896,"Documentary,Short",4.7,54.0
tt0000101,short,Place du théâtre français,Place du théâtre français,1896,"Documentary,Short",4.2,29.0
tt0000102,short,The Beach at Villiers in a Gale,Plage de Villiers par gros temps,1896,Short,4.3,27.0
tt0000103,short,Smarter than the Teacher,Plus fort que le maître,1896,Short,5.1,28.0
tt0000104,short,Pompiers à Lyon,Pompiers à Lyon,1896,"Documentary,Short",5.5,466.0
tt0000105,short,The Docks at Marseilles,Les quais à Marseille,1896,"Documentary,Short",4.6,30.0
tt0000106,short,Retour au cantonnement,Retour au cantonnement,1896,Short,4.0,24.0
tt0000107,short,Naval Review at Cherburg,Revue navale à Cherbourg,1896,"Documentary,Short",4.8,29.0
tt0000108,short,Rip Leaving Sleepy Hollow,Rip Leaving Sleepy Hollow,1896,"Drama,Short",4.3,541.0
tt0000109,short,Rip Meeting the Dwarf,Rip Meeting the Dwarf,1896,"Fantasy,Short",4.5,525.0
tt0000110,short,Rip Passing Over the Mountain,Rip Passing Over the Mountain,1896,"Fantasy,Short",4.4,528.0
tt0000111,short,Rip's Toast,Rip's Toast,1896,"Drama,Short",4.4,543.0
tt0000112,short,Rip's Toast to Hudson,Rip's Toast to Hudson,1896,"Fantasy,Short",4.5,522.0
tt0000113,short,Rip's Twenty Years' Sleep,Rip's Twenty Years' Sleep,1896,"Drama,Short",4.3,549.0
tt0000114,short,French Regiment Going to the Parade,Le régiment,1896,"Documentary,Short",4.8,31.0
tt0000115,short,Réunion d'officiers,Réunion d'officiers,1896,"Documentary,Short",4.6,35.0
tt0000116,short,Sac au dos,Sac au dos,1896,Short,4.8,28.0
tt0000117,short,Saída do Pessoal Operário da Fábrica Confiança,Saída do Pessoal Operário da Fábrica Confiança,1896,"Documentary,Short",5.1,164.0
tt0000118,short,Salut malencontreux d'un déserteur,Salut malencontreux d'un déserteur,1896,Short,4.8,29.0
tt0000119,short,"Rescue on the River, Pt. 2","Sauvetage en rivière, 1er",1896,"Documentary,Short",5.2,56.0
tt0000120,short,"Rescue on the River, Pt. 1","Sauvetage en rivière, 2e",1896,"Documentary,Short",5.2,52.0
tt0000121,short,The Soldier's Courtship,The Soldier's Courtship,1896,"Comedy,Short",4.1,88.0
tt0000122,short,Closing Hours at Vibert's Perfume Factory,Sortie des ateliers Vibert,1896,"Documentary,Short",4.8,32.0
tt0000123,short,Conjuring,Séance de prestidigitation,1896,Short,5.7,142.0
tt0000124,short,Tempête sur la jetée du treport,Tempête sur la jetée du treport,1896,"Documentary,Short",4.9,31.0
